question_id,question_code,disease_id,scale_id,ds_map_id,question_text,answer_type,min_value,max_value,is_required,skip_logic,display_order,is_common_scale,created_at,hindi_question_text
AIS/001,AIS/001,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleep induction (time it takes you to fall asleep after turning-off the lights),radio,,,true,,1,false,2026-09-04 00:00:00+00,नींद प्रेरित करना (प्रकाश बंद करने के बाद आपको सोने में लगने वाला समय)
AIS/002,AIS/002,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Awakenings during the night,radio,,,true,,2,false,2026-09-04 00:00:00+00,रात में जागना
AIS/003,AIS/003,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Final awakening earlier than desired,radio,,,true,,3,false,2026-09-04 00:00:00+00,अपेक्षित से पहले अंतिम जागृति
AIS/004,AIS/004,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Total sleep duration,radio,,,true,,4,false,2026-09-04 00:00:00+00,कुल निद्राकाल
AIS/005,AIS/005,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Overall quality of sleep (no matter how long you slept),radio,,,true,,5,false,2026-09-04 00:00:00+00,कुल मिलाकर नींद की गुणवत्ता (भले ही आपने कितना भी समय सोया हो)
AIS/006,AIS/006,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sense of well-being during the day,radio,,,true,,6,false,2026-09-04 00:00:00+00,दिन में प्रसन्नता की भावना
AIS/007,AIS/007,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Functioning (physical and mental) during the day,radio,,,true,,7,false,2026-09-04 00:00:00+00,दिन में कार्य (शारीरिक और मानसिक)
AIS/008,AIS/008,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleepiness during the day,radio,,,true,,8,false,2026-09-04 00:00:00+00,दिन में नींद आना
ALSFRS-R/001,ALSFRS-R/001,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Speech,radio,,,true,,1,false,2026-09-04 00:00:00+00,वाक्
ALSFRS-R/002,ALSFRS-R/002,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Salivation,radio,,,true,,2,false,2026-09-04 00:00:00+00,लार
ALSFRS-R/003,ALSFRS-R/003,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Swallowing,radio,,,true,,3,false,2026-09-04 00:00:00+00,निगलना
ALSFRS-R/004,ALSFRS-R/004,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Handwriting,radio,,,true,,4,false,2026-09-04 00:00:00+00,हस्तलेख
ALSFRS-R/005,ALSFRS-R/005,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Cutting food and handling utensils,radio,,,true,,5,false,2026-09-04 00:00:00+00,भोजन काटना और बर्तनों को संभालना
ALSFRS-R/006,ALSFRS-R/006,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Dressing and hygiene,radio,,,true,,6,false,2026-09-04 00:00:00+00,पोशाक और स्वच्छता
ALSFRS-R/007,ALSFRS-R/007,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Turning in bed and adjusting bed clothes,radio,,,true,,7,false,2026-09-04 00:00:00+00,बिस्तर पर पलटना और बिस्तर के कपड़े समायोजित करना
ALSFRS-R/008,ALSFRS-R/008,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Walking,radio,,,true,,8,false,2026-09-04 00:00:00+00,टहलना
ALSFRS-R/009,ALSFRS-R/009,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Climbing stairs,radio,,,true,,9,false,2026-09-04 00:00:00+00,सीढ़ियाँ चढ़ना
ALSFRS-R/010,ALSFRS-R/010,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Breathing,radio,,,true,,10,false,2026-09-04 00:00:00+00,श्वास
AMTS/001,AMTS/001,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,How old are you?,radio,,,true,,1,false,2026-09-04 00:00:00+00,आपकी आयु क्या है?
AMTS/002,AMTS/002,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What time is it (to nearest hour)?,radio,,,true,,2,false,2026-09-04 00:00:00+00,क्या समय है (निकटतम घंटे में)?
AMTS/003,AMTS/003,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,Recall address: 42 West Street This should be repeated by the patient to ensure it has been heard correctly.,radio,,,true,,3,false,2026-09-04 00:00:00+00,पते को पुनः स्मरण करें: ४२ वेस्ट स्ट्रीट यह रोगी द्वारा दोहराया जाना चाहिए ताकि यह सुनिश्चित किया जा सके कि इसे ठीक से सुना गया है।
AMTS/004,AMTS/004,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year is it?,radio,,,true,,4,false,2026-09-04 00:00:00+00,वर्ष क्या है?
AMTS/005,AMTS/005,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your address?,radio,,,true,,5,false,2026-09-04 00:00:00+00,आपका पता क्या है?
AMTS/006,AMTS/006,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,"What jobs do these people do? (Show the patient two pictures: a postman and a cook) or 
Who are these two people? (Show pictures of Pope and Queen.)",radio,,,true,,6,false,2026-09-04 00:00:00+00,ये लोग क्या कार्य करते हैं? (रोगी को दो चित्र दिखाएँ: एक डाकिये और एक रसोइया) या ये दोनों लोग कौन हैं? (पोप और रानी की तस्वीरें दिखाएँ)
AMTS/007,AMTS/007,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your date of birth?,radio,,,true,,7,false,2026-09-04 00:00:00+00,आपकी जन्मतिथि क्या है?
AMTS/008,AMTS/008,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year did the First World War start?,radio,,,true,,8,false,2026-09-04 00:00:00+00,प्रथम विश्व युद्ध किस वर्ष आरंभ हुआ था?
AMTS/009,AMTS/009,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is the name of the present monarch?,radio,,,true,,9,false,2026-09-04 00:00:00+00,वर्तमान राजा का नाम क्या है?
AMTS/010,AMTS/010,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,Count backwards 20 to 1,radio,,,true,,10,false,2026-09-04 00:00:00+00,पीछे की ओर २० से १ तक गिना
ASRS-V1.1/001,ASRS-V1.1/001,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",radio,,,true,,1,false,2026-09-04 00:00:00+00,चुनौतीपूर्ण हिस्सों को पूरा करने के बाद आपको परियोजना के अंतिम विवरणों को पूरा करने में कितनी बार परेशानी होती है?
ASRS-V1.1/002,ASRS-V1.1/002,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty getting things in order when you have to do a task that requires organization?,radio,,,true,,2,false,2026-09-04 00:00:00+00,जब आपको संगठन की आवश्यकता होने वाला काम करना होता है तो आपको कितनी बार चीजों को व्यवस्थित करने में कठिनाई होती है?
ASRS-V1.1/003,ASRS-V1.1/003,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have problems remembering appointments or obligations?,radio,,,true,,3,false,2026-09-04 00:00:00+00,आपको नियुक्तियों या दायित्वों को याद रखने में कितनी बार समस्या होती है?
ASRS-V1.1/004,ASRS-V1.1/004,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?",radio,,,true,,4,false,2026-09-04 00:00:00+00,"जब आपको कोई ऐसा काम करना होता है जिसके लिए बहुत सोचने की आवश्यकता होती है, तो आप कितनी बार काम शुरू करने से बचते हैं या देरी करते हैं?"
ASRS-V1.1/005,ASRS-V1.1/005,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,radio,,,true,,5,false,2026-09-04 00:00:00+00,जब आपको लंबे समय तक बैठना पड़ता है तो आप कितनी बार अपने हाथों या पैरों से हिलते या झुनझुनाते हैं?
ASRS-V1.1/006,ASRS-V1.1/006,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you feel overly active and compelled to do things, like you were driven by a motor?",radio,,,true,,6,false,2026-09-04 00:00:00+00,"आप कितनी बार महसूस करते हैं कि आप अत्यधिक सक्रिय हैं और चीजों को करने के लिए मजबूर हैं, जैसे कि आप एक मोटर द्वारा संचालित थे?"
ASRS-V1.1/007,ASRS-V1.1/007,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you make careless mistakes when you have to work on a boring or difficult project?,radio,,,true,,7,false,2026-09-04 00:00:00+00,जब आपको किसी उबाऊ या कठिन परियोजना पर काम करना पड़ता है तो आप कितनी बार बेवफ़ाई से गलतियाँ करते हैं?
ASRS-V1.1/008,ASRS-V1.1/008,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,How often do you have difficulty keeping your attention when you are doing boring or repetitive work?,radio,,,true,,8,false,2026-09-04 00:00:00+00,जब आप उबाऊ या दोहरावदार काम कर रहे होते हैं तो आप कितनी बार अपना ध्यान केंद्रित नहीं रख पाते हैं?
ASRS-V1.1/009,ASRS-V1.1/009,ADHD/2026,ASRS-v1.1/2026,ADHD/ASRS-V1.1,"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?",radio,,,true,,9,false,2026-09-04 00:00:00+00,आपको लोगों द्वारा आपके साथ सीधे बात करने पर भी क्या बार-बार ध्यान केंद्रित करने में कठिनाई होती है?
