option_id,question_id,option_label,option_value,points,display_order,status,created_at,marathi_option_text
AIS/001/01,AIS/001,No problem,0,0,1,true,2026-09-04 00:00:00+00,काही हरकत नाही.
AIS/001/02,AIS/001,Slightly delayed,1,1,2,true,2026-09-04 00:00:00+00,थोडासा उशीर झाला.
AIS/001/03,AIS/001,Markedly delayed,2,2,3,true,2026-09-04 00:00:00+00,विलंब झालेला
AIS/001/04,AIS/001,Very delayed or did not sleep at all,3,3,4,true,2026-09-04 00:00:00+00,खूप उशीर झाला किंवा अजिबात झोप लागली नाही.
AIS/002/01,AIS/002,No problem,0,0,1,true,2026-09-04 00:00:00+00,काही हरकत नाही.
AIS/002/02,AIS/002,Minor problem,1,1,2,true,2026-09-04 00:00:00+00,छोटीशी समस्या
AIS/002/03,AIS/002,Considerable problem,2,2,3,true,2026-09-04 00:00:00+00,खूप मोठी समस्या
AIS/002/04,AIS/002,Serious problem or did not sleep at all,3,3,4,true,2026-09-04 00:00:00+00,गंभीर समस्या किंवा अजिबात झोप लागली नाही.
AIS/003/01,AIS/003,Not earlier,0,0,1,true,2026-09-04 00:00:00+00,लवकरच नाही
AIS/003/02,AIS/003,A little earlier,1,1,2,true,2026-09-04 00:00:00+00,थोडे आधी
AIS/003/03,AIS/003,Markedly earlier,2,2,3,true,2026-09-04 00:00:00+00,लक्षणीयपणे पूर्वी
AIS/003/04,AIS/003,Much earlier or did not sleep at all,3,3,4,true,2026-09-04 00:00:00+00,खूप आधी किंवा अजिबात झोपला नाही
AIS/004/01,AIS/004,Sufficient,0,0,1,true,2026-09-04 00:00:00+00,पुरेसा
AIS/004/02,AIS/004,Slightly insufficient,1,1,2,true,2026-09-04 00:00:00+00,थोडे अपुरे
AIS/004/03,AIS/004,Markedly insufficient,2,2,3,true,2026-09-04 00:00:00+00,लक्षणीयपणे अपर्याप्त
AIS/004/04,AIS/004,Very insufficient or did not sleep at all,3,3,4,true,2026-09-04 00:00:00+00,खूप अपुरा किंवा अजिबात झोपला नाही
AIS/005/01,AIS/005,Satisfactory,0,0,1,true,2026-09-04 00:00:00+00,समाधानकारक
AIS/005/02,AIS/005,Slightly unsatisfactory,1,1,2,true,2026-09-04 00:00:00+00,काहीसे असमाधानकारक
AIS/005/03,AIS/005,Markedly unsatisfactory,2,2,3,true,2026-09-04 00:00:00+00,अत्यंत असंतोषजनक
AIS/005/04,AIS/005,Very unsatisfactory or did not sleep at all,3,3,4,true,2026-09-04 00:00:00+00,अतिशय असमाधानकारक किंवा अजिबात झोपली नाही
AIS/006/01,AIS/006,Normal,0,0,1,true,2026-09-04 00:00:00+00,सामान्य
AIS/006/02,AIS/006,Slightly decreased,1,1,2,true,2026-09-04 00:00:00+00,किंचित कमी
AIS/006/03,AIS/006,Markedly decreased,2,2,3,true,2026-09-04 00:00:00+00,लक्षणीयरीत्या कमी
AIS/006/04,AIS/006,Very decreased,3,3,4,true,2026-09-04 00:00:00+00,खूप कमी झाला आहे.
AIS/007/01,AIS/007,Normal,0,0,1,true,2026-09-04 00:00:00+00,सामान्य
AIS/007/02,AIS/007,Slightly decreased,1,1,2,true,2026-09-04 00:00:00+00,किंचित कमी
AIS/007/03,AIS/007,Markedly decreased,2,2,3,true,2026-09-04 00:00:00+00,लक्षणीयरीत्या कमी
AIS/007/04,AIS/007,Very decreased,3,3,4,true,2026-09-04 00:00:00+00,खूप कमी झाला आहे
AIS/008/01,AIS/008,None,0,0,1,true,2026-09-04 00:00:00+00,काहीही नाही
AIS/008/02,AIS/008,Mild,1,1,2,true,2026-09-04 00:00:00+00,सौम्य
AIS/008/03,AIS/008,Considerable,2,2,3,true,2026-09-04 00:00:00+00,पर्याप्त
AIS/008/04,AIS/008,Intense,3,3,4,true,2026-09-04 00:00:00+00,उत्कट
ALSFRS-R/001/01,ALSFRS-R/001,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/001/02,ALSFRS-R/001,Detectable speech disturbance,1,3,2,true,2026-09-04 00:00:00+00,शोधण्यायोग्य वाचा गोंधळ
ALSFRS-R/001/03,ALSFRS-R/001,Intelligible with repeating,2,2,3,true,2026-09-04 00:00:00+00,समजण्याजोगे
ALSFRS-R/001/04,ALSFRS-R/001,Speech combined with nonvocal communications,3,1,4,true,2026-09-04 00:00:00+00,वाचात्मक संवाद हा गैरवाचक संवादांशी जोडलेला असतो.
ALSFRS-R/001/05,ALSFRS-R/001,Loss of useful speech,4,0,5,true,2026-09-04 00:00:00+00,उपयोगी बोलण्यात अडथळा
ALSFRS-R/002/01,ALSFRS-R/002,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/002/02,ALSFRS-R/002,Slight but definite excess of saliva in mouth; may have nighttime drooling,1,3,2,true,2026-09-04 00:00:00+00,तोंडात थोडीशी पण निश्चित प्रमाणात लाळ; रात्री घशात पाणी येणे असू शकते.
ALSFRS-R/002/03,ALSFRS-R/002,Moderately excessive saliva; may have minimal drooling,2,2,3,true,2026-09-04 00:00:00+00,मध्यम प्रमाणात जास्त लाळ; कमी प्रमाणात ओघळणे असू शकते
ALSFRS-R/002/04,ALSFRS-R/002,Marked excess of saliva with some drooling,3,1,4,true,2026-09-04 00:00:00+00,लाळ आणि थोडेसे ओघळणे.
ALSFRS-R/002/05,ALSFRS-R/002,Marked drooling; requires constant tissue or handkerchief,4,0,5,true,2026-09-04 00:00:00+00,चिन्हांकित ओघ; सतत ऊती किंवा रुमाल आवश्यक
ALSFRS-R/003/01,ALSFRS-R/003,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/003/02,ALSFRS-R/003,Early eating problems; occasional choking,1,3,2,true,2026-09-04 00:00:00+00,सुरुवातीच्या काळात खाण्याशी संबंधित समस्या; अधूनमधून घशाशी येणे
ALSFRS-R/003/03,ALSFRS-R/003,Dietary consistency changes,2,2,3,true,2026-09-04 00:00:00+00,आहारातील सुसंगतता बदलते
ALSFRS-R/003/04,ALSFRS-R/003,Needs supplemental tube feedings,3,1,4,true,2026-09-04 00:00:00+00,पूरक नलिकेद्वारे आहार आवश्यक आहे
ALSFRS-R/003/05,ALSFRS-R/003,Nothing by mouth (NPO); exclusively parenteral or enteral feeding,4,0,5,true,2026-09-04 00:00:00+00,काहीच नाही (एन.पी.ओ.) म्हणजे तोंडावाटे काहीही नाही; केवळ अंतःशिरीय किंवा अंत:पाचक आहार
ALSFRS-R/004/01,ALSFRS-R/004,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/004/02,ALSFRS-R/004,Slow or sloppy; all words are legible,1,3,2,true,2026-09-04 00:00:00+00,मंद किंवा ढोबळ; सर्व शब्द वाचनीय आहेत
ALSFRS-R/004/03,ALSFRS-R/004,Not all words are legible,2,2,3,true,2026-09-04 00:00:00+00,सर्व शब्द वाचनीय नाहीत.
ALSFRS-R/004/04,ALSFRS-R/004,Able to grasp pen but unable to write,3,1,4,true,2026-09-04 00:00:00+00,लिहिता येत नाही पण पेन पकडता येते
ALSFRS-R/004/05,ALSFRS-R/004,Unable to grip pen,4,0,5,true,2026-09-04 00:00:00+00,पेन पकडू शकत नाही
ALSFRS-R/005/01,ALSFRS-R/005,No gastrostomy/normal,0,4,1,true,2026-09-04 00:00:00+00,नाही असलेल्या आंत्रछेदन/सामान्य
ALSFRS-R/005/02,ALSFRS-R/005,No gastrostomy; somewhat slow and clumsy but no help required,1,3,2,true,2026-09-04 00:00:00+00,जठरछेद नाही; काहीशी संथ आणि अस्ताव्यस्त आहे परंतु मदतीची आवश्यकता नाही.
ALSFRS-R/005/03,ALSFRS-R/005,No gastrostomy; can cut most foods although clumsy and slow; some help needed,2,2,3,true,2026-09-04 00:00:00+00,जठरछेद नाही; बहुतेक पदार्थ कापून खाता येतात जरी ते अव्यवस्थित आणि संथ असले तरी; काही मदतीची आवश्यकता आहे.
ALSFRS-R/005/04,ALSFRS-R/005,No gastrostomy; food must be cut by someone but can still feed slowly,3,1,4,true,2026-09-04 00:00:00+00,जठरछेद नाही; अन्न एखाद्याने कापावे परंतु तरीही हळूवारपणेच ते दिले जाऊ शकते.
ALSFRS-R/005/05,ALSFRS-R/005,No gastrostomy; needs to be fed,4,0,5,true,2026-09-04 00:00:00+00,जठरछेद नाही; त्याला अन्न द्यावे लागेल.
ALSFRS-R/006/01,ALSFRS-R/006,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/006/02,ALSFRS-R/006,Independent and complete self-care with effort or decreased efficiency,1,3,2,true,2026-09-04 00:00:00+00,"स्वतंत्र आणि पूर्ण स्व-देखभाल, प्रयत्न करून किंवा कार्यक्षमता कमी होऊन."
ALSFRS-R/006/03,ALSFRS-R/006,Intermittent assistance or substitute methods,2,2,3,true,2026-09-04 00:00:00+00,अधूनमधून सहायता या पद्धत किंवा पर्याय
ALSFRS-R/006/04,ALSFRS-R/006,Needs attendant for self-care,3,1,4,true,2026-09-04 00:00:00+00,स्वत:च्या काळजीसाठी साथीची आवश्यकता असते.
ALSFRS-R/006/05,ALSFRS-R/006,Total dependence,4,0,5,true,2026-09-04 00:00:00+00,पूर्ण अवलंब
ALSFRS-R/007/01,ALSFRS-R/007,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/007/02,ALSFRS-R/007,Somewhat slow and clumsy but no help needed,1,3,2,true,2026-09-04 00:00:00+00,"काहीशी संथ आणि अस्ताव्यस्त, परंतु मदतीची आवश्यकता नाही."
ALSFRS-R/007/03,ALSFRS-R/007,Can turn alone or adjust sheets but with great difficulty,2,2,3,true,2026-09-04 00:00:00+00,एकट्याने फिरवता येते का किंवा पत्रके मोठ्या अडचणीने समायोजित करता येतात का?
ALSFRS-R/007/04,ALSFRS-R/007,Can initiate but not turn or adjust sheets alone,3,1,4,true,2026-09-04 00:00:00+00,फक्त प्रारंभ करू शकते परंतु पत्रके वळवू किंवा समायोजित करू शकत नाही.
ALSFRS-R/007/05,ALSFRS-R/007,Helpless,4,0,5,true,2026-09-04 00:00:00+00,असहाय
ALSFRS-R/008/01,ALSFRS-R/008,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/008/02,ALSFRS-R/008,Early ambulation difficulties,1,3,2,true,2026-09-04 00:00:00+00,सुरुवातीच्या काळात चालण्यात अडचणी
ALSFRS-R/008/03,ALSFRS-R/008,Walks with assistance,2,2,3,true,2026-09-04 00:00:00+00,सहकार्याने चालणे
ALSFRS-R/008/04,ALSFRS-R/008,Nonambulatory functional movement only,3,1,4,true,2026-09-04 00:00:00+00,अंबुलॅटरी कार्यात्मक हालचाल
ALSFRS-R/008/05,ALSFRS-R/008,No purposeful leg movement,4,0,5,true,2026-09-04 00:00:00+00,उद्देशपूर्वक पायाची हालचाल नाही.
ALSFRS-R/009/01,ALSFRS-R/009,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/009/02,ALSFRS-R/009,Slow,1,3,2,true,2026-09-04 00:00:00+00,संथ
ALSFRS-R/009/03,ALSFRS-R/009,Mild unsteadiness or fatigue,2,2,3,true,2026-09-04 00:00:00+00,हलका अस्थिरता किंवा थकवा
ALSFRS-R/009/04,ALSFRS-R/009,Needs assistance,3,1,4,true,2026-09-04 00:00:00+00,आवश्यक आहे.
ALSFRS-R/009/05,ALSFRS-R/009,Cannot do,4,0,5,true,2026-09-04 00:00:00+00,करू शकत नाही
ALSFRS-R/010/01,ALSFRS-R/010,Normal,0,4,1,true,2026-09-04 00:00:00+00,सामान्य
ALSFRS-R/010/02,ALSFRS-R/010,"Shortness of breath with minimal exertion (walking, talking etc.)",1,3,2,true,2026-09-04 00:00:00+00,"कमीत कमी प्रयत्नांनी (चालणे, बोलणे इ.) श्वासोच्छ्वास कमी होणे."
ALSFRS-R/010/03,ALSFRS-R/010,Shortness of breath at rest,2,2,3,true,2026-09-04 00:00:00+00,विश्रांतीच्या वेळी श्वासोच्छ्वास कमी होणे
