question_id,question_code,disease_id,scale_id,ds_map_id,question_text,answer_type,min_value,max_value,is_required,skip_logic,display_order,is_common_scale,created_at,marathi_question_text
AIS/001,AIS/001,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleep induction (time it takes you to fall asleep after turning-off the lights),radio,,,true,,1,false,2026-09-04 00:00:00+00,निद्रा प्रवर्तन (प्रकाश बंद केल्यानंतर तुम्हाला झोपायला लागणारा वेळ)
AIS/002,AIS/002,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Awakenings during the night,radio,,,true,,2,false,2026-09-04 00:00:00+00,रात्रीचे जागरण
AIS/003,AIS/003,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Final awakening earlier than desired,radio,,,true,,3,false,2026-09-04 00:00:00+00,अपेक्षेपेक्षा लवकर अंतिम जागृती
AIS/004,AIS/004,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Total sleep duration,radio,,,true,,4,false,2026-09-04 00:00:00+00,एकूण झोप कालावधी
AIS/005,AIS/005,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Overall quality of sleep (no matter how long you slept),radio,,,true,,5,false,2026-09-04 00:00:00+00,एकूण झोपेची गुणवत्ता (तुम्ही किती वेळ झोपलात हे महत्त्वाचे नाही)
AIS/006,AIS/006,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sense of well-being during the day,radio,,,true,,6,false,2026-09-04 00:00:00+00,दिवसातील सुखाची भावना
AIS/007,AIS/007,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Functioning (physical and mental) during the day,radio,,,true,,7,false,2026-09-04 00:00:00+00,दिवसा कार्य (शारीरिक आणि मानसिक)
AIS/008,AIS/008,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleepiness during the day,radio,,,true,,8,false,2026-09-04 00:00:00+00,दिवसा झोप
ALSFRS-R/001,ALSFRS-R/001,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Speech,radio,,,true,,1,false,2026-09-04 00:00:00+00,वाणी
ALSFRS-R/002,ALSFRS-R/002,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Salivation,radio,,,true,,2,false,2026-09-04 00:00:00+00,लाळ
