option_id,question_id,option_label,option_value,points,display_order,status,created_at
AIS/001/01,AIS/001,कोई बात नहीं,0,0,1,true,2026-09-04 00:00:00+00
AIS/001/02,AIS/001,थोड़ा विलंब हुआ,1,1,2,true,2026-09-04 00:00:00+00
AIS/001/03,AIS/001,काफ़ी देरी हुई,2,2,3,true,2026-09-04 00:00:00+00
AIS/001/04,AIS/001,बहुत देर हो गई या नींद ही नहीं आई,3,3,4,true,2026-09-04 00:00:00+00
AIS/002/01,AIS/002,कोई बात नहीं,0,0,1,true,2026-09-04 00:00:00+00
AIS/002/02,AIS/002,छोटी सी समस्या,1,1,2,true,2026-09-04 00:00:00+00
AIS/002/03,AIS/002,विचारणीय समस्या,2,2,3,true,2026-09-04 00:00:00+00
AIS/002/04,AIS/002,गंभीर समस्या या नींद ही नहीं आई,3,3,4,true,2026-09-04 00:00:00+00
AIS/003/01,AIS/003,पहले नहीं,0,0,1,true,2026-09-04 00:00:00+00
AIS/003/02,AIS/003,एक छोटे से पहले,1,1,2,true,2026-09-04 00:00:00+00
AIS/003/03,AIS/003,स्पष्ट रूप से पहले,2,2,3,true,2026-09-04 00:00:00+00
AIS/003/04,AIS/003,बहुत पहले या बिल्कुल भी नींद नहीं आई,3,3,4,true,2026-09-04 00:00:00+00
AIS/004/01,AIS/004,पर्याप्त,0,0,1,true,2026-09-04 00:00:00+00
AIS/004/02,AIS/004,थोड़ा अपर्याप्त,1,1,2,true,2026-09-04 00:00:00+00
AIS/004/03,AIS/004,स्पष्ट रूप से अपर्याप्त,2,2,3,true,2026-09-04 00:00:00+00
AIS/004/04,AIS/004,बहुत अपर्याप्त या बिल्कुल नींद नहीं आई,3,3,4,true,2026-09-04 00:00:00+00
AIS/005/01,AIS/005,संतोषजनक,0,0,1,true,2026-09-04 00:00:00+00
AIS/005/02,AIS/005,थोड़ा असंतोषजनक,1,1,2,true,2026-09-04 00:00:00+00
AIS/005/03,AIS/005,स्पष्ट रूप से असंतोषजनक,2,2,3,true,2026-09-04 00:00:00+00
AIS/005/04,AIS/005,बहुत असंतोषजनक या बिल्कुल नींद नहीं आई,3,3,4,true,2026-09-04 00:00:00+00
AIS/006/01,AIS/006,सामान्य,0,0,1,true,2026-09-04 00:00:00+00
AIS/006/02,AIS/006,थोड़ा कम हुआ,1,1,2,true,2026-09-04 00:00:00+00
AIS/006/03,AIS/006,उल्लेखनीय रूप से कमी आई,2,2,3,true,2026-09-04 00:00:00+00
AIS/006/04,AIS/006,बहुत कम हो गया,3,3,4,true,2026-09-04 00:00:00+00
AIS/007/01,AIS/007,सामान्य,0,0,1,true,2026-09-04 00:00:00+00
AIS/007/02,AIS/007,थोड़ा कम हुआ,1,1,2,true,2026-09-04 00:00:00+00
AIS/007/03,AIS/007,उल्लेखनीय रूप से कमी आई,2,2,3,true,2026-09-04 00:00:00+00
AIS/007/04,AIS/007,बहुत कम हो गया,3,3,4,true,2026-09-04 00:00:00+00
AIS/008/01,AIS/008,कोई नहीं,0,0,1,true,2026-09-04 00:00:00+00
AIS/008/02,AIS/008,हल्का,1,1,2,true,2026-09-04 00:00:00+00
AIS/008/03,AIS/008,विचारणीय,2,2,3,true,2026-09-04 00:00:00+00
AIS/008/04,AIS/008,गहन,3,3,4,true,2026-09-04 00:00:00+00
ALSFRS-R/001/01,ALSFRS-R/001,सामान्य,0,4,1,true,2026-09-04 00:00:00+00
ALSFRS-R/001/02,ALSFRS-R/001,पता लगाने योग्य भाषण गड़बड़ी,1,3,2,true,2026-09-04 00:00:00+00
ALSFRS-R/001/03,ALSFRS-R/001,दोहराने से बोधगम्य,2,2,3,true,2026-09-04 00:00:00+00
ALSFRS-R/001/04,ALSFRS-R/001,भाषण गैर-मुखर संचार के साथ संयुक्त,3,1,4,true,2026-09-04 00:00:00+00
ALSFRS-R/001/05,ALSFRS-R/001,उपयोगी वाणी की हानि,4,0,5,true,2026-09-04 00:00:00+00
